LoadLibrary Error :126
Error :agora::rtc::NodeRtcEngine::registerPlugin, :3811, not unload plugin "bytedance"

duration : 1, tx :451408, rx :4367, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1
duration : 111, tx :50375771, rx :178888, txbr :3146, rxbr :11, txAudioBr :83, rxAudioBr :0, users :1

duration : 113, tx :51052064, rx :180940, txbr :2705, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 115, tx :51768570, rx :182854, txbr :2864, rxbr :7, txAudioBr :84, rxAudioBr :0, users :1

duration : 117, tx :52603700, rx :184622, txbr :3340, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 119, tx :53446865, rx :186591, txbr :3370, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 121, tx :54411541, rx :188565, txbr :3862, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 123, tx :55827930, rx :216304, txbr :5665, rxbr :110, txAudioBr :79, rxAudioBr :13, users :2

duration : 125, tx :56665342, rx :299305, txbr :3349, rxbr :332, txAudioBr :71, rxAudioBr :50, users :2

duration : 127, tx :57860240, rx :383488, txbr :4779, rxbr :336, txAudioBr :79, rxAudioBr :53, users :2

duration : 129, tx :58880398, rx :509965, txbr :4080, rxbr :505, txAudioBr :78, rxAudioBr :50, users :2

duration : 131, tx :59975826, rx :626391, txbr :4379, rxbr :465, txAudioBr :81, rxAudioBr :51, users :2

duration : 133, tx :61370278, rx :762295, txbr :5580, rxbr :543, txAudioBr :74, rxAudioBr :58, users :2

duration : 135, tx :62177658, rx :879026, txbr :3227, rxbr :466, txAudioBr :80, rxAudioBr :48, users :2

duration : 137, tx :63226967, rx :1023640, txbr :4197, rxbr :578, txAudioBr :81, rxAudioBr :53, users :2

duration : 139, tx :64609441, rx :1170484, txbr :5529, rxbr :587, txAudioBr :78, rxAudioBr :55, users :2

duration : 141, tx :65381042, rx :1315868, txbr :3086, rxbr :581, txAudioBr :83, rxAudioBr :53, users :2

duration : 143, tx :66595932, rx :1449591, txbr :4861, rxbr :535, txAudioBr :83, rxAudioBr :49, users :2

duration : 145, tx :67398378, rx :1588171, txbr :3208, rxbr :554, txAudioBr :71, rxAudioBr :56, users :2

duration : 147, tx :69083470, rx :1720140, txbr :6743, rxbr :528, txAudioBr :81, rxAudioBr :58, users :2

duration : 149, tx :70398155, rx :1864771, txbr :5250, rxbr :577, txAudioBr :77, rxAudioBr :53, users :2

duration : 151, tx :71175787, rx :2007393, txbr :3112, rxbr :570, txAudioBr :66, rxAudioBr :49, users :2

duration : 153, tx :71902313, rx :2148014, txbr :2909, rxbr :563, txAudioBr :72, rxAudioBr :49, users :2

duration : 155, tx :72821193, rx :2156638, txbr :3673, rxbr :34, txAudioBr :82, rxAudioBr :2, users :1

duration : 157, tx :73893152, rx :2160939, txbr :4287, rxbr :17, txAudioBr :71, rxAudioBr :0, users :1

duration : 159, tx :75129785, rx :2164341, txbr :4949, rxbr :13, txAudioBr :71, rxAudioBr :0, users :1

duration : 161, tx :76189086, rx :2166379, txbr :4235, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 163, tx :77224462, rx :2168558, txbr :4141, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 165, tx :78282458, rx :2170256, txbr :4231, rxbr :6, txAudioBr :77, rxAudioBr :0, users :1

duration : 167, tx :79380292, rx :2173082, txbr :4391, rxbr :11, txAudioBr :82, rxAudioBr :0, users :1

duration : 169, tx :80526170, rx :2177130, txbr :4585, rxbr :16, txAudioBr :77, rxAudioBr :0, users :1

duration : 171, tx :81663505, rx :2179712, txbr :4547, rxbr :10, txAudioBr :78, rxAudioBr :0, users :1

duration : 173, tx :82698294, rx :2182686, txbr :4139, rxbr :11, txAudioBr :80, rxAudioBr :0, users :1

duration : 175, tx :83507199, rx :2184600, txbr :3238, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 177, tx :84335934, rx :2186346, txbr :3311, rxbr :6, txAudioBr :78, rxAudioBr :0, users :1

duration : 179, tx :85253486, rx :2188998, txbr :3670, rxbr :10, txAudioBr :76, rxAudioBr :0, users :1

duration : 181, tx :86236384, rx :2192996, txbr :3931, rxbr :15, txAudioBr :78, rxAudioBr :0, users :1

duration : 183, tx :87167983, rx :2195283, txbr :3728, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 185, tx :88149670, rx :2197473, txbr :3926, rxbr :8, txAudioBr :77, rxAudioBr :0, users :1

duration : 187, tx :88992412, rx :2199387, txbr :3367, rxbr :7, txAudioBr :74, rxAudioBr :0, users :1

duration : 189, tx :89839979, rx :2201292, txbr :3393, rxbr :7, txAudioBr :70, rxAudioBr :0, users :1

duration : 191, tx :90732808, rx :2204340, txbr :3571, rxbr :12, txAudioBr :83, rxAudioBr :0, users :1

duration : 193, tx :91799504, rx :2208049, txbr :4266, rxbr :14, txAudioBr :70, rxAudioBr :0, users :1

duration : 195, tx :92868729, rx :2210359, txbr :4274, rxbr :9, txAudioBr :70, rxAudioBr :0, users :1

duration : 197, tx :93887263, rx :2212503, txbr :4074, rxbr :8, txAudioBr :84, rxAudioBr :0, users :1

duration : 199, tx :94886960, rx :2214494, txbr :3998, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 201, tx :95887772, rx :2216265, txbr :4003, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 203, tx :97137813, rx :2220007, txbr :5000, rxbr :14, txAudioBr :83, rxAudioBr :0, users :1

duration : 205, tx :98307494, rx :2224431, txbr :4678, rxbr :17, txAudioBr :76, rxAudioBr :0, users :1

duration : 207, tx :99385655, rx :2226786, txbr :4312, rxbr :9, txAudioBr :83, rxAudioBr :0, users :1

duration : 209, tx :100399320, rx :2228844, txbr :4056, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 211, tx :101479318, rx :2231668, txbr :4315, rxbr :11, txAudioBr :69, rxAudioBr :0, users :1

duration : 213, tx :102811409, rx :2235089, txbr :5328, rxbr :13, txAudioBr :78, rxAudioBr :0, users :1

