LoadLibrary Error :126
Error :agora::rtc::NodeRtcEngine::registerPlugin, :3811, not unload plugin "bytedance"

duration : 1, tx :451408, rx :4367, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1
duration : 461, tx :222152206, rx :9848403, txbr :3992, rxbr :511, txAudioBr :73, rxAudioBr :53, users :2

duration : 463, tx :222991870, rx :9971642, txbr :3358, rxbr :492, txAudioBr :84, rxAudioBr :48, users :2

duration : 465, tx :224387241, rx :10144227, txbr :5584, rxbr :690, txAudioBr :79, rxAudioBr :52, users :2

duration : 467, tx :225181699, rx :10271678, txbr :3177, rxbr :509, txAudioBr :83, rxAudioBr :57, users :2

duration : 469, tx :226100656, rx :10400995, txbr :3673, rxbr :517, txAudioBr :80, rxAudioBr :57, users :2

duration : 471, tx :226862532, rx :10552067, txbr :3047, rxbr :604, txAudioBr :81, rxAudioBr :57, users :2

duration : 473, tx :227911631, rx :10689799, txbr :4198, rxbr :551, txAudioBr :78, rxAudioBr :54, users :2

duration : 475, tx :228866433, rx :10822266, txbr :3819, rxbr :529, txAudioBr :77, rxAudioBr :51, users :2

duration : 477, tx :229447790, rx :10954306, txbr :2325, rxbr :528, txAudioBr :81, rxAudioBr :52, users :2

duration : 479, tx :230288481, rx :11078476, txbr :3361, rxbr :496, txAudioBr :79, rxAudioBr :56, users :2

duration : 481, tx :231062422, rx :11247847, txbr :3097, rxbr :677, txAudioBr :82, rxAudioBr :59, users :2

duration : 483, tx :231945693, rx :11290197, txbr :3529, rxbr :169, txAudioBr :82, rxAudioBr :16, users :1

duration : 485, tx :232731812, rx :11293396, txbr :3144, rxbr :12, txAudioBr :82, rxAudioBr :0, users :1

duration : 487, tx :233499578, rx :11295476, txbr :3069, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 489, tx :234114440, rx :11297653, txbr :2463, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 491, tx :234761806, rx :11300656, txbr :2588, rxbr :12, txAudioBr :74, rxAudioBr :0, users :1

duration : 493, tx :235682319, rx :11304161, txbr :3683, rxbr :14, txAudioBr :71, rxAudioBr :0, users :1

duration : 495, tx :236413377, rx :11306537, txbr :2924, rxbr :9, txAudioBr :78, rxAudioBr :0, users :1

duration : 497, tx :237114294, rx :11308829, txbr :2799, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 499, tx :237870771, rx :11311710, txbr :3028, rxbr :11, txAudioBr :81, rxAudioBr :0, users :1

duration : 501, tx :238511897, rx :11314979, txbr :2564, rxbr :13, txAudioBr :82, rxAudioBr :0, users :1

duration : 503, tx :239089320, rx :11317992, txbr :2309, rxbr :12, txAudioBr :82, rxAudioBr :0, users :1

duration : 505, tx :239682524, rx :11320191, txbr :2370, rxbr :8, txAudioBr :73, rxAudioBr :0, users :1

duration : 507, tx :240366246, rx :11322118, txbr :2737, rxbr :7, txAudioBr :73, rxAudioBr :0, users :1

duration : 509, tx :241075094, rx :11323992, txbr :2836, rxbr :7, txAudioBr :77, rxAudioBr :0, users :1

duration : 511, tx :241699103, rx :11326558, txbr :2494, rxbr :10, txAudioBr :80, rxAudioBr :0, users :1

duration : 513, tx :242804969, rx :11330097, txbr :4425, rxbr :14, txAudioBr :77, rxAudioBr :0, users :1

duration : 515, tx :243794950, rx :11333749, txbr :3957, rxbr :14, txAudioBr :79, rxAudioBr :0, users :1

duration : 517, tx :244618414, rx :11336170, txbr :3295, rxbr :9, txAudioBr :75, rxAudioBr :0, users :1

duration : 519, tx :245273618, rx :11338429, txbr :2612, rxbr :9, txAudioBr :76, rxAudioBr :0, users :1

duration : 521, tx :246404391, rx :11342772, txbr :4536, rxbr :17, txAudioBr :81, rxAudioBr :0, users :1

duration : 523, tx :247442354, rx :11346068, txbr :4151, rxbr :13, txAudioBr :83, rxAudioBr :0, users :1

duration : 525, tx :248617860, rx :11349020, txbr :4699, rxbr :11, txAudioBr :72, rxAudioBr :0, users :1

duration : 527, tx :249746146, rx :11352660, txbr :4517, rxbr :14, txAudioBr :77, rxAudioBr :0, users :1

duration : 529, tx :250935948, rx :11355484, txbr :4754, rxbr :11, txAudioBr :82, rxAudioBr :0, users :1

duration : 531, tx :252160257, rx :11357886, txbr :4899, rxbr :9, txAudioBr :75, rxAudioBr :0, users :1

duration : 533, tx :253378763, rx :11360406, txbr :4869, rxbr :10, txAudioBr :72, rxAudioBr :0, users :1

duration : 535, tx :254517085, rx :11362777, txbr :4551, rxbr :9, txAudioBr :77, rxAudioBr :0, users :1

duration : 537, tx :255287785, rx :11364705, txbr :3087, rxbr :7, txAudioBr :67, rxAudioBr :0, users :1

duration : 539, tx :255964290, rx :11366856, txbr :2704, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 541, tx :256396735, rx :11368818, txbr :1729, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 543, tx :256902858, rx :11370766, txbr :2024, rxbr :7, txAudioBr :76, rxAudioBr :0, users :1

duration : 545, tx :257335933, rx :11372618, txbr :1731, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 547, tx :257912109, rx :11374668, txbr :2305, rxbr :8, txAudioBr :77, rxAudioBr :0, users :1

duration : 549, tx :258375360, rx :11376405, txbr :1853, rxbr :6, txAudioBr :79, rxAudioBr :0, users :1

duration : 551, tx :258868275, rx :11378495, txbr :1971, rxbr :8, txAudioBr :77, rxAudioBr :0, users :1

duration : 553, tx :259330693, rx :11380494, txbr :1850, rxbr :8, txAudioBr :77, rxAudioBr :0, users :1

duration : 555, tx :259766387, rx :11382594, txbr :1741, rxbr :8, txAudioBr :69, rxAudioBr :0, users :1

duration : 557, tx :260215467, rx :11384729, txbr :1797, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 559, tx :260742339, rx :11386838, txbr :2106, rxbr :8, txAudioBr :73, rxAudioBr :0, users :1

duration : 561, tx :261214314, rx :11388584, txbr :1887, rxbr :6, txAudioBr :76, rxAudioBr :0, users :1

duration : 563, tx :261650198, rx :11390623, txbr :1743, rxbr :8, txAudioBr :64, rxAudioBr :0, users :1

duration : 565, tx :262127837, rx :11392482, txbr :1910, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 567, tx :262701536, rx :11394650, txbr :2294, rxbr :8, txAudioBr :73, rxAudioBr :0, users :1

duration : 569, tx :263221160, rx :11396888, txbr :2079, rxbr :8, txAudioBr :83, rxAudioBr :0, users :1

duration : 571, tx :263766920, rx :11398761, txbr :2181, rxbr :7, txAudioBr :80, rxAudioBr :0, users :1

duration : 573, tx :264310338, rx :11400536, txbr :2174, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 575, tx :264786316, rx :11402498, txbr :1902, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 577, tx :265376590, rx :11404481, txbr :2361, rxbr :7, txAudioBr :75, rxAudioBr :0, users :1

duration : 579, tx :265956738, rx :11406644, txbr :2321, rxbr :8, txAudioBr :65, rxAudioBr :0, users :1

duration : 581, tx :266422234, rx :11408633, txbr :1859, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 583, tx :266858664, rx :11410740, txbr :1747, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 585, tx :267329664, rx :11412486, txbr :1884, rxbr :6, txAudioBr :73, rxAudioBr :0, users :1

duration : 587, tx :267882586, rx :11414400, txbr :2210, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 589, tx :268457864, rx :11416577, txbr :2301, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 591, tx :269036111, rx :11418804, txbr :2314, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 593, tx :269515723, rx :11420935, txbr :1917, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 595, tx :269965030, rx :11422849, txbr :1797, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 597, tx :270510670, rx :11424547, txbr :2182, rxbr :6, txAudioBr :79, rxAudioBr :0, users :1

duration : 599, tx :271062033, rx :11426586, txbr :2206, rxbr :8, txAudioBr :72, rxAudioBr :0, users :1

duration : 601, tx :271703535, rx :11428844, txbr :2564, rxbr :9, txAudioBr :79, rxAudioBr :0, users :1

duration : 603, tx :272349845, rx :11430992, txbr :2586, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 605, tx :272902747, rx :11433210, txbr :2210, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 607, tx :273439888, rx :11435124, txbr :2148, rxbr :7, txAudioBr :73, rxAudioBr :0, users :1

duration : 609, tx :274045885, rx :11436949, txbr :2423, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 611, tx :274695162, rx :11439020, txbr :2598, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 613, tx :275389776, rx :11441255, txbr :2778, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 615, tx :276065800, rx :11443476, txbr :2704, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 617, tx :276686017, rx :11445622, txbr :2479, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 619, tx :277298061, rx :11447613, txbr :2448, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 621, tx :277919187, rx :11449359, txbr :2485, rxbr :6, txAudioBr :79, rxAudioBr :0, users :1

duration : 623, tx :278610712, rx :11451522, txbr :2764, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 625, tx :279310365, rx :11453984, txbr :2800, rxbr :9, txAudioBr :81, rxAudioBr :0, users :1

duration : 627, tx :279982147, rx :11455996, txbr :2685, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 629, tx :280624077, rx :11458207, txbr :2567, rxbr :8, txAudioBr :83, rxAudioBr :0, users :1

duration : 631, tx :281242692, rx :11460228, txbr :2474, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 633, tx :281877340, rx :11462003, txbr :2538, rxbr :7, txAudioBr :77, rxAudioBr :0, users :1

duration : 635, tx :282481590, rx :11464043, txbr :2417, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 637, tx :283129790, rx :11466324, txbr :2594, rxbr :9, txAudioBr :84, rxAudioBr :0, users :1

duration : 639, tx :283805782, rx :11468409, txbr :2701, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 641, tx :284442529, rx :11470323, txbr :2549, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 643, tx :285057354, rx :11472314, txbr :2458, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 645, tx :285692301, rx :11474071, txbr :2541, rxbr :7, txAudioBr :76, rxAudioBr :0, users :1

duration : 647, tx :286345586, rx :11476277, txbr :2610, rxbr :8, txAudioBr :77, rxAudioBr :0, users :1

duration : 649, tx :287089197, rx :11478851, txbr :2977, rxbr :10, txAudioBr :81, rxAudioBr :0, users :1

duration : 651, tx :287778465, rx :11480906, txbr :2757, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 653, tx :288395946, rx :11482897, txbr :2468, rxbr :7, txAudioBr :83, rxAudioBr :0, users :1

duration : 655, tx :289024668, rx :11484811, txbr :2516, rxbr :7, txAudioBr :80, rxAudioBr :0, users :1

duration : 657, tx :289651684, rx :11486666, txbr :2506, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 659, tx :290306580, rx :11489009, txbr :2619, rxbr :9, txAudioBr :76, rxAudioBr :0, users :1

duration : 661, tx :290991276, rx :11491391, txbr :2738, rxbr :9, txAudioBr :82, rxAudioBr :0, users :1

duration : 663, tx :291664208, rx :11493455, txbr :2691, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 665, tx :292361757, rx :11495369, txbr :2790, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 667, tx :293059491, rx :11497283, txbr :2783, rxbr :7, txAudioBr :80, rxAudioBr :0, users :1

duration : 669, tx :293615370, rx :11499106, txbr :2229, rxbr :7, txAudioBr :66, rxAudioBr :0, users :1

duration : 671, tx :294173223, rx :11501081, txbr :2230, rxbr :7, txAudioBr :64, rxAudioBr :0, users :1

duration : 673, tx :294757713, rx :11503433, txbr :2339, rxbr :9, txAudioBr :81, rxAudioBr :0, users :1

duration : 675, tx :295176634, rx :11505086, txbr :1478, rxbr :5, txAudioBr :70, rxAudioBr :0, users :1

duration : 677, tx :296386657, rx :11507825, txbr :5582, rxbr :12, txAudioBr :92, rxAudioBr :0, users :1

duration : 679, tx :296970145, rx :11510206, txbr :2332, rxbr :9, txAudioBr :82, rxAudioBr :0, users :1

duration : 681, tx :297718895, rx :11512725, txbr :2996, rxbr :10, txAudioBr :80, rxAudioBr :0, users :1

duration : 683, tx :298447419, rx :11514766, txbr :2912, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 685, tx :299118988, rx :11517192, txbr :2688, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 687, tx :299827450, rx :11519844, txbr :2833, rxbr :10, txAudioBr :79, rxAudioBr :0, users :1

duration : 689, tx :300580878, rx :11522659, txbr :3009, rxbr :11, txAudioBr :80, rxAudioBr :0, users :1

duration : 691, tx :301673244, rx :11527046, txbr :4371, rxbr :17, txAudioBr :83, rxAudioBr :0, users :1

duration : 693, tx :302631234, rx :11529251, txbr :3833, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 695, tx :303402792, rx :11531436, txbr :3072, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 697, tx :304274510, rx :11534325, txbr :3504, rxbr :11, txAudioBr :76, rxAudioBr :0, users :1

duration : 699, tx :305102215, rx :11537628, txbr :3309, rxbr :13, txAudioBr :69, rxAudioBr :0, users :1

duration : 701, tx :305884221, rx :11539651, txbr :3121, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 703, tx :306904539, rx :11542467, txbr :4089, rxbr :11, txAudioBr :75, rxAudioBr :0, users :1

duration : 705, tx :307743261, rx :11544297, txbr :3354, rxbr :7, txAudioBr :77, rxAudioBr :0, users :1

duration : 707, tx :308359170, rx :11546259, txbr :2462, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 709, tx :309064015, rx :11548374, txbr :2820, rxbr :8, txAudioBr :74, rxAudioBr :0, users :1

duration : 711, tx :309887748, rx :11550305, txbr :3294, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 713, tx :310791142, rx :11553073, txbr :3613, rxbr :11, txAudioBr :82, rxAudioBr :0, users :1

duration : 715, tx :311480296, rx :11555009, txbr :2755, rxbr :7, txAudioBr :70, rxAudioBr :0, users :1

duration : 717, tx :312108954, rx :11556755, txbr :2515, rxbr :6, txAudioBr :80, rxAudioBr :0, users :1

duration : 719, tx :312753485, rx :11559173, txbr :2578, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 721, tx :313542120, rx :11562843, txbr :3154, rxbr :14, txAudioBr :81, rxAudioBr :0, users :1

duration : 723, tx :314316674, rx :11565185, txbr :3096, rxbr :9, txAudioBr :77, rxAudioBr :0, users :1

duration : 725, tx :315038593, rx :11567393, txbr :2889, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 727, tx :315696873, rx :11569252, txbr :2634, rxbr :7, txAudioBr :76, rxAudioBr :0, users :1

duration : 729, tx :316466387, rx :11571546, txbr :3074, rxbr :9, txAudioBr :82, rxAudioBr :0, users :1

duration : 731, tx :317282991, rx :11574883, txbr :3268, rxbr :13, txAudioBr :83, rxAudioBr :0, users :1

duration : 733, tx :318149370, rx :11577876, txbr :3467, rxbr :11, txAudioBr :82, rxAudioBr :0, users :1

duration : 735, tx :318949448, rx :11580998, txbr :3200, rxbr :12, txAudioBr :75, rxAudioBr :0, users :1

duration : 737, tx :319580799, rx :11583140, txbr :2524, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 739, tx :320232470, rx :11585198, txbr :2607, rxbr :8, txAudioBr :70, rxAudioBr :0, users :1

duration : 741, tx :320874502, rx :11586896, txbr :2566, rxbr :6, txAudioBr :71, rxAudioBr :0, users :1

duration : 743, tx :321634868, rx :11588870, txbr :3039, rxbr :7, txAudioBr :62, rxAudioBr :0, users :1

duration : 745, tx :322526877, rx :11590995, txbr :3569, rxbr :8, txAudioBr :65, rxAudioBr :0, users :1

duration : 747, tx :323200920, rx :11592916, txbr :2693, rxbr :7, txAudioBr :71, rxAudioBr :0, users :1

duration : 749, tx :324008610, rx :11594955, txbr :3229, rxbr :8, txAudioBr :75, rxAudioBr :0, users :1

duration : 751, tx :324872408, rx :11596869, txbr :3460, rxbr :7, txAudioBr :72, rxAudioBr :0, users :1

duration : 753, tx :325655924, rx :11598512, txbr :3134, rxbr :6, txAudioBr :74, rxAudioBr :0, users :1

duration : 755, tx :326445095, rx :11600618, txbr :3156, rxbr :8, txAudioBr :75, rxAudioBr :0, users :1

duration : 757, tx :326995128, rx :11602532, txbr :2200, rxbr :7, txAudioBr :73, rxAudioBr :0, users :1

duration : 759, tx :327561278, rx :11604530, txbr :2264, rxbr :7, txAudioBr :76, rxAudioBr :0, users :1

duration : 761, tx :328282463, rx :11606492, txbr :2881, rxbr :7, txAudioBr :73, rxAudioBr :0, users :1

duration : 763, tx :328999780, rx :11608406, txbr :2872, rxbr :7, txAudioBr :63, rxAudioBr :0, users :1

duration : 765, tx :329840334, rx :11610193, txbr :3362, rxbr :7, txAudioBr :65, rxAudioBr :0, users :1

duration : 767, tx :330469472, rx :11612174, txbr :2516, rxbr :7, txAudioBr :63, rxAudioBr :0, users :1

duration : 769, tx :331117459, rx :11614067, txbr :2591, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 771, tx :332046637, rx :11616115, txbr :3718, rxbr :8, txAudioBr :76, rxAudioBr :0, users :1

duration : 773, tx :332858942, rx :11618096, txbr :3245, rxbr :7, txAudioBr :67, rxAudioBr :0, users :1

duration : 775, tx :333587692, rx :11620087, txbr :2916, rxbr :7, txAudioBr :68, rxAudioBr :0, users :1

duration : 777, tx :334465452, rx :11621833, txbr :3512, rxbr :6, txAudioBr :74, rxAudioBr :0, users :1

duration : 779, tx :335567891, rx :11623824, txbr :4409, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 781, tx :336400965, rx :11625786, txbr :3323, rxbr :7, txAudioBr :73, rxAudioBr :0, users :1

duration : 783, tx :337174199, rx :11627652, txbr :3099, rxbr :7, txAudioBr :69, rxAudioBr :0, users :1

duration : 785, tx :337898800, rx :11629643, txbr :2895, rxbr :7, txAudioBr :74, rxAudioBr :0, users :1

duration : 787, tx :338610641, rx :11631557, txbr :2850, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 789, tx :339281210, rx :11633332, txbr :2682, rxbr :7, txAudioBr :70, rxAudioBr :0, users :1

duration : 791, tx :340062710, rx :11635246, txbr :3122, rxbr :7, txAudioBr :65, rxAudioBr :0, users :1

duration : 793, tx :340851681, rx :11637105, txbr :3160, rxbr :7, txAudioBr :63, rxAudioBr :0, users :1

duration : 795, tx :341796015, rx :11639870, txbr :3771, rxbr :11, txAudioBr :80, rxAudioBr :0, users :1

duration : 797, tx :342566562, rx :11642821, txbr :3085, rxbr :11, txAudioBr :80, rxAudioBr :0, users :1

duration : 799, tx :343288725, rx :11645972, txbr :2890, rxbr :12, txAudioBr :75, rxAudioBr :0, users :1

duration : 801, tx :344169804, rx :11648253, txbr :3524, rxbr :9, txAudioBr :70, rxAudioBr :0, users :1

duration : 803, tx :345029172, rx :11650276, txbr :3435, rxbr :8, txAudioBr :74, rxAudioBr :0, users :1

duration : 805, tx :345916927, rx :11652322, txbr :3551, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 807, tx :346904342, rx :11654979, txbr :3949, rxbr :10, txAudioBr :84, rxAudioBr :0, users :1

duration : 809, tx :347639747, rx :11656853, txbr :2943, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 811, tx :348429479, rx :11658767, txbr :3158, rxbr :7, txAudioBr :80, rxAudioBr :0, users :1

duration : 813, tx :349125702, rx :11660417, txbr :2783, rxbr :6, txAudioBr :84, rxAudioBr :0, users :1

duration : 815, tx :349893532, rx :11662472, txbr :3071, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 817, tx :350659154, rx :11664683, txbr :3064, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 819, tx :351339056, rx :11666674, txbr :2716, rxbr :7, txAudioBr :77, rxAudioBr :0, users :1

duration : 821, tx :352196778, rx :11668691, txbr :3434, rxbr :8, txAudioBr :84, rxAudioBr :0, users :1

duration : 823, tx :353023161, rx :11670967, txbr :3307, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 825, tx :353820841, rx :11674093, txbr :3185, rxbr :12, txAudioBr :82, rxAudioBr :0, users :1

duration : 827, tx :354647439, rx :11677922, txbr :3308, rxbr :15, txAudioBr :67, rxAudioBr :0, users :1

duration : 829, tx :355441754, rx :11680634, txbr :3156, rxbr :10, txAudioBr :71, rxAudioBr :0, users :1

duration : 831, tx :356224664, rx :11682500, txbr :3153, rxbr :7, txAudioBr :74, rxAudioBr :0, users :1

duration : 833, tx :356988296, rx :11684766, txbr :3053, rxbr :9, txAudioBr :63, rxAudioBr :0, users :1

duration : 835, tx :357642062, rx :11686824, txbr :2615, rxbr :8, txAudioBr :74, rxAudioBr :0, users :1

duration : 837, tx :358286304, rx :11690019, txbr :2576, rxbr :12, txAudioBr :67, rxAudioBr :0, users :1

duration : 839, tx :359157580, rx :11692918, txbr :3485, rxbr :11, txAudioBr :72, rxAudioBr :0, users :1

duration : 841, tx :360008685, rx :11695231, txbr :3404, rxbr :9, txAudioBr :71, rxAudioBr :0, users :1

duration : 843, tx :360912312, rx :11698242, txbr :3616, rxbr :12, txAudioBr :64, rxAudioBr :0, users :1

duration : 845, tx :361666685, rx :11700415, txbr :3015, rxbr :8, txAudioBr :63, rxAudioBr :0, users :1

duration : 847, tx :362502340, rx :11702892, txbr :3342, rxbr :9, txAudioBr :67, rxAudioBr :0, users :1

duration : 849, tx :363483836, rx :11706210, txbr :3927, rxbr :13, txAudioBr :67, rxAudioBr :0, users :1

duration : 851, tx :364427215, rx :11709710, txbr :3771, rxbr :13, txAudioBr :63, rxAudioBr :0, users :1

duration : 853, tx :365343412, rx :11711624, txbr :3666, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 855, tx :366081027, rx :11713678, txbr :2946, rxbr :8, txAudioBr :66, rxAudioBr :0, users :1

duration : 857, tx :366608116, rx :11715592, txbr :2111, rxbr :7, txAudioBr :83, rxAudioBr :0, users :1

duration : 859, tx :367140653, rx :11718053, txbr :2129, rxbr :9, txAudioBr :82, rxAudioBr :0, users :1

duration : 861, tx :367652235, rx :11720042, txbr :2046, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 863, tx :368262330, rx :11722021, txbr :2439, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 865, tx :368914392, rx :11724067, txbr :2609, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 867, tx :369571836, rx :11726040, txbr :2629, rxbr :7, txAudioBr :70, rxAudioBr :0, users :1

duration : 869, tx :370124758, rx :11728339, txbr :2212, rxbr :9, txAudioBr :81, rxAudioBr :0, users :1

duration : 871, tx :370773592, rx :11730665, txbr :2595, rxbr :9, txAudioBr :78, rxAudioBr :0, users :1

duration : 873, tx :371394756, rx :11732704, txbr :2484, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 875, tx :372007089, rx :11734745, txbr :2448, rxbr :8, txAudioBr :67, rxAudioBr :0, users :1

duration : 877, tx :372704478, rx :11736714, txbr :2790, rxbr :7, txAudioBr :65, rxAudioBr :0, users :1

duration : 879, tx :373275070, rx :11738547, txbr :2282, rxbr :7, txAudioBr :71, rxAudioBr :0, users :1

duration : 881, tx :373851844, rx :11740686, txbr :2307, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 883, tx :374406341, rx :11742801, txbr :2216, rxbr :8, txAudioBr :82, rxAudioBr :0, users :1

duration : 885, tx :375024365, rx :11744641, txbr :2472, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 887, tx :375596623, rx :11746555, txbr :2289, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 889, tx :376167148, rx :11748546, txbr :2282, rxbr :7, txAudioBr :77, rxAudioBr :0, users :1

duration : 891, tx :376804699, rx :11750617, txbr :2550, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 893, tx :377354641, rx :11752703, txbr :2200, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 895, tx :377999309, rx :11755033, txbr :2578, rxbr :9, txAudioBr :82, rxAudioBr :0, users :1

duration : 897, tx :378714896, rx :11757066, txbr :2859, rxbr :8, txAudioBr :78, rxAudioBr :0, users :1

duration : 899, tx :379591812, rx :11759984, txbr :3509, rxbr :11, txAudioBr :80, rxAudioBr :0, users :1

duration : 901, tx :380637761, rx :11762461, txbr :4177, rxbr :9, txAudioBr :79, rxAudioBr :0, users :1

duration : 903, tx :381535026, rx :11764272, txbr :3596, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 905, tx :382371212, rx :11767985, txbr :3343, rxbr :14, txAudioBr :82, rxAudioBr :0, users :1

duration : 907, tx :383194982, rx :11770357, txbr :3295, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 909, tx :384122809, rx :11773440, txbr :3711, rxbr :12, txAudioBr :80, rxAudioBr :0, users :1

duration : 911, tx :384908040, rx :11775520, txbr :3140, rxbr :8, txAudioBr :74, rxAudioBr :0, users :1

duration : 913, tx :385706000, rx :11777379, txbr :3182, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 915, tx :386359946, rx :11779458, txbr :2623, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 917, tx :387056431, rx :11781917, txbr :2784, rxbr :9, txAudioBr :81, rxAudioBr :0, users :1

duration : 919, tx :387859570, rx :11783908, txbr :3214, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 921, tx :388697059, rx :11785681, txbr :3351, rxbr :7, txAudioBr :80, rxAudioBr :0, users :1

duration : 923, tx :389510414, rx :11787595, txbr :3251, rxbr :7, txAudioBr :82, rxAudioBr :0, users :1

duration : 925, tx :390332447, rx :11790565, txbr :3288, rxbr :11, txAudioBr :81, rxAudioBr :0, users :1

duration : 927, tx :391166110, rx :11793778, txbr :3334, rxbr :12, txAudioBr :80, rxAudioBr :0, users :1

duration : 929, tx :391993665, rx :11797497, txbr :3311, rxbr :14, txAudioBr :80, rxAudioBr :0, users :1

duration : 931, tx :392741554, rx :11800152, txbr :2988, rxbr :10, txAudioBr :81, rxAudioBr :0, users :1

duration : 933, tx :393581406, rx :11801850, txbr :3362, rxbr :6, txAudioBr :83, rxAudioBr :0, users :1

duration : 935, tx :394450130, rx :11804347, txbr :3474, rxbr :9, txAudioBr :76, rxAudioBr :0, users :1

duration : 937, tx :395304939, rx :11806372, txbr :3419, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

